W,Q2,Sigma_t,Sigma_l
1.37,0.2,89.399,46.7023
1.38,0.2,87.1106,43.6518
1.39,0.2,85.4674,40.8026
1.4,0.2,84.5023,38.1923
1.41,0.2,84.0912,36.0736
1.42,0.2,84.2913,34.4003
1.43,0.2,85.2238,33.1028
1.44,0.2,86.9609,32.222
1.45,0.2,89.7554,31.7771
1.46,0.2,93.6834,31.8273
1.47,0.2,98.9576,32.2716
1.48,0.2,105.479,33.3416
1.49,0.2,106.192,35.0687
1.5,0.2,104.26,37.494
1.51,0.2,101.055,39.7202
1.52,0.2,94.83,41.2
1.53,0.2,86.538,41.4571
1.54,0.2,78.1132,40.6675
1.55,0.2,71.2731,39.0627
1.56,0.2,66.589,36.9428
1.57,0.2,64.0999,34.7466
1.58,0.2,63.3946,32.6058
1.59,0.2,63.8464,30.7341
1.6,0.2,64.9104,29.123
1.61,0.2,66.3843,27.9031
1.62,0.2,68.2179,27.1805
1.63,0.2,70.4814,26.9419
1.64,0.2,72.5768,27.0631
1.65,0.2,73.9411,27.3744
1.66,0.2,73.8136,27.644
1.67,0.2,71.7128,27.744
1.68,0.2,67.6411,27.536
1.69,0.2,62.2198,27.1509
1.7,0.2,56.0841,26.5396
1.71,0.2,49.8412,25.7927
1.72,0.2,44.0542,24.9825
1.73,0.2,38.9814,24.1664
1.74,0.2,34.7016,23.4033
1.75,0.2,31.1066,22.7397
1.76,0.2,28.1731,22.0473
1.77,0.2,25.7539,21.3665
1.78,0.2,23.7433,20.7762
1.79,0.2,22.1147,20.1107
1.8,0.2,20.71,19.4351
1.81,0.2,19.5646,18.7487
1.82,0.2,18.589,18.125
1.83,0.2,17.7179,17.4536
1.84,0.2,17.0358,16.8388
1.85,0.2,16.4104,16.2807
1.86,0.2,15.8894,15.6569
1.87,0.2,15.4045,15.0796
1.88,0.2,14.9988,14.5751
1.89,0.2,14.6267,14.0753
1.9,0.2,14.2844,13.6249
1.91,0.2,13.9439,13.2052
1.92,0.2,13.6112,12.8619
1.93,0.2,13.3007,12.5114
1.94,0.2,12.9711,12.1637
1.95,0.2,12.6736,11.8776
1.96,0.2,12.384,11.5539
1.97,0.2,12.1246,11.2675
1.98,0.2,11.8819,10.9619
1.99,0.2,11.6117,10.6945
2,0.2,11.4042,10.4508
1.08,0.25,11.4699,2.1666
1.09,0.25,41.7017,12.6115
1.1,0.25,59.1075,22.4089
1.11,0.25,73.8899,31.6714
1.12,0.25,88.2209,40.2201
1.13,0.25,103.608,48.0367
1.14,0.25,121.482,55.2038
1.15,0.25,143.37,61.8323
1.16,0.25,170.922,67.7253
1.17,0.25,205.365,72.8101
1.18,0.25,245.901,76.6341
1.19,0.25,287.667,78.3423
1.2,0.25,320.242,77.5776
1.21,0.25,331.929,74.4285
1.22,0.25,319.352,70.0139
1.23,0.25,289.911,65.9379
1.24,0.25,254.513,62.8199
1.25,0.25,220.666,60.8227
1.26,0.25,191.76,59.8682
1.27,0.25,167.99,59.4224
1.28,0.25,148.93,59.1767
1.29,0.25,133.675,58.8807
1.3,0.25,121.295,58.4421
1.31,0.25,111.386,57.7949
1.32,0.25,103.245,56.6981
1.33,0.25,96.6211,55.2173
1.34,0.25,91.0687,53.0856
1.35,0.25,86.5729,50.7278
1.36,0.25,82.9281,47.8419
1.37,0.25,80.0921,44.7821
1.38,0.25,77.9883,41.7093
1.39,0.25,76.4028,38.8161
1.4,0.25,75.4785,36.2993
1.41,0.25,75.0709,34.1059
1.42,0.25,75.3134,32.3641
1.43,0.25,76.2424,31.0857
1.44,0.25,77.9075,30.1138
1.45,0.25,80.6074,29.68
1.46,0.25,84.461,29.7006
1.47,0.25,89.7054,30.2787
1.48,0.25,96.3068,31.3966
1.49,0.25,97.5335,33.3601
1.5,0.25,96.253,36.1943
1.51,0.25,93.8198,38.94
1.52,0.25,88.5979,40.8835
1.53,0.25,81.1784,41.6186
1.54,0.25,73.4468,41.1827
1.55,0.25,67.0885,39.8265
1.56,0.25,62.6115,37.9289
1.57,0.25,60.2428,35.7595
1.58,0.25,59.4633,33.654
1.59,0.25,59.7764,31.734
1.6,0.25,60.6145,30.2995
1.61,0.25,61.9435,29.1809
1.62,0.25,63.6814,28.6294
1.63,0.25,65.6959,28.5141
1.64,0.25,67.7736,28.8786
1.65,0.25,69.1584,29.494
1.66,0.25,69.254,30.0933
1.67,0.25,67.5257,30.4435
1.68,0.25,64.0011,30.4932
1.69,0.25,59.1528,30.2196
1.7,0.25,53.4747,29.6233
1.71,0.25,47.6644,28.9449
1.72,0.25,42.1926,28.0721
1.73,0.25,37.3477,27.2232
1.74,0.25,33.229,26.3723
1.75,0.25,29.7873,25.5713
1.76,0.25,26.9308,24.8548
1.77,0.25,24.5793,24.1096
1.78,0.25,22.6558,23.3752
1.79,0.25,21.0422,22.6229
1.8,0.25,19.6993,21.9286
1.81,0.25,18.5763,21.2294
1.82,0.25,17.6265,20.5096
1.83,0.25,16.7948,19.7838
1.84,0.25,16.1337,19.0272
1.85,0.25,15.5039,18.3393
1.86,0.25,14.9576,17.7362
1.87,0.25,14.525,17.1013
1.88,0.25,14.1372,16.5349
1.89,0.25,13.741,15.981
1.9,0.25,13.4016,15.4693
1.91,0.25,13.1206,15.0212
1.92,0.25,12.8152,14.5947
1.93,0.25,12.5254,14.1841
1.94,0.25,12.2444,13.7862
1.95,0.25,11.9997,13.4324
1.96,0.25,11.7548,13.0951
1.97,0.25,11.5088,12.8152
1.98,0.25,11.273,12.4986
1.99,0.25,11.0563,12.1814
2,0.25,10.8617,11.868
1.08,0.3,9.34738,1.74442
1.09,0.3,34.5746,10.4649
1.1,0.3,49.6816,18.8301
1.11,0.3,62.8187,26.8338
1.12,0.3,75.8032,34.3493
1.13,0.3,89.9158,41.3099
1.14,0.3,106.384,47.785
1.15,0.3,126.65,53.7653
1.16,0.3,152.16,59.322
1.17,0.3,184.143,64.1136
1.18,0.3,221.859,67.8755
1.19,0.3,260.871,69.7624
1.2,0.3,291.43,69.4276
1.21,0.3,302.832,66.8339
1.22,0.3,291.822,62.953
1.23,0.3,265.142,59.4108
1.24,0.3,232.875,56.7542
1.25,0.3,201.93,55.1762
1.26,0.3,175.319,54.3263
1.27,0.3,153.5,54.1504
1.28,0.3,136.005,54.1455
1.29,0.3,121.834,54.2202
1.3,0.3,110.506,54.0699
1.31,0.3,101.255,53.7095
1.32,0.3,93.7164,52.9019
1.33,0.3,87.5071,51.69
1.34,0.3,82.3541,49.9045
1.35,0.3,78.1563,47.6734
1.36,0.3,74.7421,45.052
1.37,0.3,72.055,42.1478
1.38,0.3,70.0745,39.1348
1.39,0.3,68.5915,36.3646
1.4,0.3,67.6939,33.8546
1.41,0.3,67.3802,31.5897
1.42,0.3,67.5794,29.8689
1.43,0.3,68.5399,28.4376
1.44,0.3,70.1792,27.5278
1.45,0.3,72.7579,26.9768
1.46,0.3,76.5582,26.9859
1.47,0.3,81.8019,27.5548
1.48,0.3,88.4857,28.6492
1.49,0.3,90.1254,30.699
1.5,0.3,89.4082,33.7184
1.51,0.3,87.6526,36.6668
1.52,0.3,83.2624,39.0031
1.53,0.3,76.5511,40.1237
1.54,0.3,69.483,39.9982
1.55,0.3,63.3687,38.9382
1.56,0.3,59.1737,37.1565
1.57,0.3,56.7751,35.2154
1.58,0.3,55.9513,33.3066
1.59,0.3,56.1187,31.5352
1.6,0.3,56.8788,30.1346
1.61,0.3,58.0011,29.1711
1.62,0.3,59.5817,28.7824
1.63,0.3,61.4726,28.9359
1.64,0.3,63.4111,29.5264
1.65,0.3,64.8748,30.4051
1.66,0.3,65.1817,31.2512
1.67,0.3,63.7045,31.9093
1.68,0.3,60.6721,32.1501
1.69,0.3,56.275,31.969
1.7,0.3,51.0524,31.5501
1.71,0.3,45.5553,30.7879
1.72,0.3,40.3854,29.9918
1.73,0.3,35.7684,29.0953
1.74,0.3,31.7706,28.2435
1.75,0.3,28.5039,27.3907
1.76,0.3,25.7544,26.557
1.77,0.3,23.5282,25.8042
1.78,0.3,21.6109,25.0926
1.79,0.3,20.0369,24.3011
1.8,0.3,18.74,23.5244
1.81,0.3,17.6847,22.7928
1.82,0.3,16.7289,22.0154
1.83,0.3,15.9467,21.2842
1.84,0.3,15.2724,20.5418
1.85,0.3,14.7081,19.8497
1.86,0.3,14.1902,19.1539
1.87,0.3,13.7591,18.4586
1.88,0.3,13.3993,17.8678
1.89,0.3,13.0352,17.2883
1.9,0.3,12.7253,16.742
1.91,0.3,12.4514,16.2748
1.92,0.3,12.1994,15.7961
1.93,0.3,11.9242,15.3542
1.94,0.3,11.6896,14.9441
1.95,0.3,11.4437,14.5694
1.96,0.3,11.2341,14.2057
1.97,0.3,11.0123,13.8657
1.98,0.3,10.78,13.5084
1.99,0.3,10.5747,13.1779
2,0.3,10.4225,12.8523
1.08,0.35,7.67178,1.42984
1.09,0.35,28.8579,8.79187
1.1,0.35,42.0158,16.0112
1.11,0.35,53.7282,22.9748
1.12,0.35,65.4763,29.5751
1.13,0.35,78.3326,35.7767
1.14,0.35,93.4334,41.6022
1.15,0.35,112.04,47.0144
1.16,0.35,135.53,52.0932
1.17,0.35,164.977,56.6601
1.18,0.35,199.808,60.1521
1.19,0.35,235.891,62.1199
1.2,0.35,264.346,62.0671
1.21,0.35,275.283,59.9234
1.22,0.35,265.671,56.5747
1.23,0.35,241.636,53.4062
1.24,0.35,212.336,51.1484
1.25,0.35,184.165,49.8562
1.26,0.35,159.895,49.3098
1.27,0.35,139.985,49.2852
1.28,0.35,123.934,49.3858
1.29,0.35,111.074,49.6686
1.3,0.35,100.676,49.7717
1.31,0.35,92.1377,49.6215
1.32,0.35,85.131,49.0775
1.33,0.35,79.3985,48.0826
1.34,0.35,74.6437,46.5075
1.35,0.35,70.7206,44.5167
1.36,0.35,67.5149,42.0457
1.37,0.35,65.0259,39.3192
1.38,0.35,63.1124,36.481
1.39,0.35,61.8154,33.7946
1.4,0.35,60.9859,31.2116
1.41,0.35,60.7135,29.0866
1.42,0.35,61.0053,27.2919
1.43,0.35,61.9012,25.8365
1.44,0.35,63.531,24.8638
1.45,0.35,66.0921,24.3088
1.46,0.35,69.8824,24.2517
1.47,0.35,75.0443,24.6143
1.48,0.35,81.7261,25.6662
1.49,0.35,83.7307,27.698
1.5,0.35,83.4968,30.7432
1.51,0.35,82.4054,33.7626
1.52,0.35,78.6106,36.2248
1.53,0.35,72.5602,37.6921
1.54,0.35,65.9346,37.7792
1.55,0.35,60.211,36.9567
1.56,0.35,56.1016,35.4709
1.57,0.35,53.7662,33.6347
1.58,0.35,52.8976,31.9498
1.59,0.35,52.9076,30.3276
1.6,0.35,53.5163,29.1398
1.61,0.35,54.518,28.3727
1.62,0.35,55.9153,28.149
1.63,0.35,57.6529,28.5243
1.64,0.35,59.4801,29.4274
1.65,0.35,60.9391,30.4694
1.66,0.35,61.2781,31.5715
1.67,0.35,60.1916,32.41
1.68,0.35,57.4122,32.8178
1.69,0.35,53.428,32.837
1.7,0.35,48.6206,32.4519
1.71,0.35,43.4699,31.7318
1.72,0.35,38.582,30.962
1.73,0.35,34.1976,30.0808
1.74,0.35,30.4014,29.2025
1.75,0.35,27.2329,28.3841
1.76,0.35,24.5907,27.5362
1.77,0.35,22.4464,26.7231
1.78,0.35,20.6519,25.9523
1.79,0.35,19.1525,25.1957
1.8,0.35,17.8877,24.3898
1.81,0.35,16.8419,23.6414
1.82,0.35,15.9448,22.8604
1.83,0.35,15.1907,22.0852
1.84,0.35,14.5181,21.393
1.85,0.35,13.9831,20.6332
1.86,0.35,13.4793,19.9656
1.87,0.35,13.1023,19.2759
1.88,0.35,12.7494,18.6379
1.89,0.35,12.4244,18.0822
1.9,0.35,12.1358,17.5099
1.91,0.35,11.8802,16.9905
1.92,0.35,11.6594,16.4718
1.93,0.35,11.429,16.0415
1.94,0.35,11.2241,15.6813
1.95,0.35,11.0379,15.2528
1.96,0.35,10.8271,14.9015
1.97,0.35,10.6311,14.5437
1.98,0.35,10.4173,14.2005
1.99,0.35,10.2525,13.8625
2,0.35,10.0948,13.5271
1.08,0.4,7.67178,1.42984
1.09,0.4,28.8579,8.79187
1.1,0.4,42.0158,16.0112
1.11,0.4,53.7282,22.9748
1.12,0.4,65.4763,29.5751
1.13,0.4,78.3326,35.7767
1.14,0.4,93.4334,41.6022
1.15,0.4,112.04,47.0144
1.16,0.4,135.53,52.0932
1.17,0.4,164.977,56.6601
1.18,0.4,199.808,60.1521
1.19,0.4,235.891,62.1199
1.2,0.4,264.346,62.0671
1.21,0.4,275.283,59.9234
1.22,0.4,265.671,56.5747
1.23,0.4,241.636,53.4062
1.24,0.4,212.336,51.1484
1.25,0.4,184.165,49.8562
1.26,0.4,159.895,49.3098
1.27,0.4,139.985,49.2852
1.28,0.4,123.934,49.3858
1.29,0.4,111.074,49.6686
1.3,0.4,100.676,49.7717
1.31,0.4,92.1377,49.6215
1.32,0.4,85.131,49.0775
1.33,0.4,79.3985,48.0826
1.34,0.4,74.6437,46.5075
1.35,0.4,70.7206,44.5167
1.36,0.4,67.5149,42.0457
1.37,0.4,65.0259,39.3192
1.38,0.4,63.1124,36.481
1.39,0.4,61.8154,33.7946
1.4,0.4,60.9859,31.2116
1.41,0.4,60.7135,29.0866
1.42,0.4,61.0053,27.2919
1.43,0.4,61.9012,25.8365
1.44,0.4,63.531,24.8638
1.45,0.4,66.0921,24.3088
1.46,0.4,69.8824,24.2517
1.47,0.4,75.0443,24.6143
1.48,0.4,81.7261,25.6662
1.49,0.4,83.7307,27.698
1.5,0.4,83.4968,30.7432
1.51,0.4,82.4054,33.7626
1.52,0.4,78.6106,36.2248
1.53,0.4,72.5602,37.6921
1.54,0.4,65.9346,37.7792
1.55,0.4,60.211,36.9567
1.56,0.4,56.1016,35.4709
1.57,0.4,53.7662,33.6347
1.58,0.4,52.8976,31.9498
1.59,0.4,52.9076,30.3276
1.6,0.4,53.5163,29.1398
1.61,0.4,54.518,28.3727
1.62,0.4,55.9153,28.149
1.63,0.4,57.6529,28.5243
1.64,0.4,59.4801,29.4274
1.65,0.4,60.9391,30.4694
1.66,0.4,61.2781,31.5715
1.67,0.4,60.1916,32.41
1.68,0.4,57.4122,32.8178
1.69,0.4,53.428,32.837
1.7,0.4,48.6206,32.4519
1.71,0.4,43.4699,31.7318
1.72,0.4,38.582,30.962
1.73,0.4,34.1976,30.0808
1.74,0.4,30.4014,29.2025
1.75,0.4,27.2329,28.3841
1.76,0.4,24.5907,27.5362
1.77,0.4,22.4464,26.7231
1.78,0.4,20.6519,25.9523
1.79,0.4,19.1525,25.1957
1.8,0.4,17.8877,24.3898
1.81,0.4,16.8419,23.6414
1.82,0.4,15.9448,22.8604
